ID,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
1826,0,0,0,0,0
1,0,0,0,0,1
10476,0,0,0,0,0
1386,0,0,0,0,0
5371,1,0,0,0,0
7348,0,0,0,0,0
4073,1,0,0,0,0
1991,0,0,0,0,0
4047,0,0,0,0,0
9477,0,0,0,0,0
2079,0,0,0,0,0
5642,0,0,0,0,0
10530,0,0,0,0,0
2964,0,0,0,0,0
10311,0,0,0,0,0
837,0,0,0,0,0
10521,0,0,0,0,0
10175,0,0,0,0,0
1473,0,0,0,0,0
2795,0,0,0,0,0
2285,0,0,0,0,0
115,0,0,0,0,0
10470,0,0,0,0,0
4065,0,0,0,0,0
10968,0,0,0,0,0
5985,0,0,0,0,0
5430,0,0,0,0,0
8432,0,0,0,0,0
453,0,0,0,0,0
9687,0,0,0,0,0
8890,0,0,0,0,0
9264,0,0,0,0,0
5824,0,0,0,0,0
5794,0,1,0,1,0
3068,0,0,0,0,0
7962,0,0,1,1,0
2681,0,0,0,0,0
10141,0,0,0,0,0
3725,0,1,1,1,1
3767,0,0,0,0,0
5585,0,0,0,0,0
7030,0,0,0,1,0
1524,0,0,0,1,0
3657,0,0,0,0,0
5740,0,0,0,0,0
9595,0,0,0,0,0
3158,0,0,0,0,0
5114,0,0,0,0,0
340,1,0,0,0,0
8805,0,0,0,0,0
1241,0,0,0,0,0
1402,0,0,0,0,0
7264,0,0,0,0,0
1619,0,0,0,0,0
6398,0,0,0,0,0
1857,0,0,0,0,0
4877,0,0,0,0,0
3066,0,0,0,0,0
10286,0,0,0,0,0
1992,0,0,0,1,0
4246,0,0,0,0,0
10623,0,0,0,0,0
4867,0,0,0,0,0
3112,0,0,0,0,0
4865,0,0,0,0,0
6287,0,0,0,0,0
4405,0,0,0,0,0
5332,0,0,0,0,0
1519,0,0,0,0,0
9080,0,0,0,0,0
1772,0,0,1,1,0
5341,0,0,1,0,0
5510,0,0,0,0,0
3887,0,0,0,0,0
7022,0,0,0,0,0
9999,0,0,0,0,0
10352,0,0,0,0,0
7919,0,0,0,0,0
4114,0,0,0,0,0
7990,0,0,0,0,0
9888,0,0,0,0,0
4399,0,0,0,0,0
4452,0,1,0,1,0
4785,0,0,0,0,0
8461,0,0,0,0,0
3878,0,0,0,0,0
9612,0,0,0,0,0
4098,0,0,0,0,0
158,1,0,0,0,0
3896,0,0,0,0,0
9970,0,0,0,0,0
4002,0,0,0,0,0
10914,0,0,0,0,0
7279,0,0,0,0,0
10582,0,0,0,0,0
4470,0,0,0,0,0
6183,0,0,0,0,0
6379,0,0,0,0,0
8601,0,0,0,0,0
4827,0,0,0,0,0
6715,0,0,0,0,0
10676,0,0,0,0,0
1041,0,0,0,0,0
492,0,0,0,0,0
11133,0,0,0,0,0
4491,0,1,0,0,0
873,0,1,0,0,0
1631,0,0,0,0,0
8278,0,0,0,0,0
6815,1,0,1,1,0
254,0,1,0,0,0
1349,0,0,0,0,0
2534,0,0,0,0,0
2130,0,0,0,0,0
2296,1,0,0,0,0
3799,0,0,0,0,0
11084,0,0,0,0,0
5172,0,0,0,0,0
9504,0,0,0,0,0
850,0,0,0,0,0
4477,0,0,0,0,0
1945,0,1,0,1,0
7685,0,0,0,0,0
6310,0,0,0,0,0
10832,0,0,0,0,0
3025,0,0,0,0,0
2404,0,0,0,0,0
8581,0,0,0,0,0
8755,0,0,0,0,0
10177,0,0,0,0,0
2429,0,0,0,0,0
8920,0,0,0,0,0
8430,0,0,0,0,0
8619,0,0,0,0,0
8996,0,0,0,0,0
7233,0,0,0,1,0
6678,0,0,0,0,0
830,0,0,1,1,0
6365,0,0,0,0,0
6770,1,0,0,0,0
2261,0,0,0,0,0
1031,0,0,1,0,0
10089,0,1,1,1,1
9256,0,0,0,0,0
10641,0,0,0,0,0
624,1,0,0,0,0
4211,0,0,0,0,0
1407,0,0,0,0,0
10356,0,0,0,0,0
9323,1,0,0,0,0
1146,1,0,0,0,0
6343,0,1,0,0,0
8545,0,1,1,1,1
8275,0,0,0,0,0
10673,0,0,0,0,0
8799,0,0,0,0,0
67,0,0,0,0,0
9923,0,0,0,0,0
2814,0,0,0,0,0
2711,0,0,0,0,0
4320,0,0,0,0,0
10451,0,0,0,0,0
4198,0,0,0,0,0
10814,0,0,0,0,0
944,0,0,0,0,0
8151,0,0,0,0,0
6184,0,0,0,0,0
3498,1,0,0,0,0
2870,0,0,0,0,0
7342,0,0,0,0,0
1911,0,0,0,0,0
10862,0,0,0,0,0
2546,0,0,0,0,0
3005,1,0,0,1,0
8318,0,0,1,0,0
2930,0,0,0,0,0
8216,0,0,0,0,0
1212,1,0,0,0,0
2541,0,0,0,0,0
10659,0,0,0,0,0
10905,0,0,0,0,0
8910,0,0,0,0,0
7349,0,0,0,0,0
7872,1,0,1,1,0
4290,0,0,0,0,0
7408,0,0,0,0,0
9986,0,0,0,0,0
8235,0,0,0,0,0
10949,0,0,0,1,0
7284,0,0,0,0,0
9529,0,0,0,1,0
9930,0,0,0,0,0
10270,0,0,0,0,0
760,0,0,0,0,0
5519,0,0,0,0,0
232,0,0,0,0,0
3009,0,1,1,0,1
6518,0,0,0,0,0
10669,0,0,0,0,0
5682,0,0,0,0,0
1570,0,0,0,0,0
1497,0,0,0,0,0
9723,0,1,0,0,0
7261,0,0,0,0,0
2452,0,0,0,0,0
5621,0,0,0,0,0
10995,0,0,0,0,0
7373,0,0,0,0,0
5331,0,0,0,0,0
263,0,0,0,0,0
4619,0,0,0,0,0
940,0,0,0,0,0
10084,0,0,0,0,0
6019,1,0,0,0,0
1463,0,0,0,0,0
6424,0,0,0,0,0
8233,0,1,0,0,0
1515,0,0,0,0,0
10855,0,0,0,0,0
10909,1,0,1,0,0
3376,0,0,0,0,0
10232,0,0,0,0,0
5547,0,1,1,0,0
8362,0,1,1,0,0
3524,0,0,0,0,0
10095,0,0,0,0,0
8897,0,0,0,0,0
466,0,0,0,0,0
11025,0,0,0,0,0
2387,0,0,0,0,0
1618,1,0,0,0,0
25,0,0,0,0,0
3277,0,0,0,0,0
8566,0,0,0,0,0
2634,0,0,0,0,0
8036,0,0,0,0,0
8159,0,0,0,0,0
7628,0,0,0,0,0
9597,0,0,0,0,0
1384,1,0,0,0,0
10150,0,0,0,1,0
3885,1,0,0,0,0
11003,0,0,0,0,0
8026,0,0,0,0,0
577,0,0,0,0,0
8702,0,0,0,0,0
5429,0,0,0,0,0
977,0,0,0,0,0
2793,0,0,0,0,0
1071,0,0,0,0,0
5074,0,0,0,0,0
2632,1,0,0,0,0
6404,0,0,0,0,0
10240,0,1,1,0,0
2521,1,0,0,0,0
4301,1,0,0,0,0
7381,0,1,1,1,0
2407,0,0,1,0,0
9064,0,0,1,0,0
5067,0,1,1,1,1
10281,0,0,0,0,0
11191,0,0,0,0,0
1994,0,0,0,0,0
2552,0,1,0,0,0
6720,0,1,0,0,0
4557,0,0,0,0,0
1183,0,0,0,0,0
4186,0,0,0,0,0
1419,0,0,0,0,0
967,0,0,0,0,0
1048,0,0,0,0,0
9262,1,0,0,0,0
3427,0,0,0,0,0
5892,0,0,0,0,0
8911,0,0,0,0,0
6606,0,1,0,0,0
2677,0,0,0,0,0
252,0,0,0,0,0
9860,0,0,0,0,0
1388,0,0,0,0,0
979,0,0,0,0,0
7494,0,0,0,0,0
10490,0,0,0,0,0
3403,0,0,0,0,0
2715,0,0,0,0,0
4828,0,0,0,0,0
92,0,0,0,0,0
3312,0,0,0,0,0
11176,0,0,0,0,0
1446,0,0,0,0,0
9699,0,0,0,0,0
9790,0,0,1,0,0
2324,1,0,0,0,0
5080,0,0,0,0,0
4992,0,0,0,0,0
7849,0,0,0,0,0
4808,0,0,0,0,0
10401,0,0,0,0,0
7793,0,1,0,0,0
9303,0,0,0,0,0
6853,0,1,1,0,0
7366,0,1,1,0,0
9780,0,0,0,0,0
7573,1,0,0,0,0
1379,0,0,0,0,0
8923,0,0,0,0,0
3547,0,0,0,0,0
8707,0,0,0,0,0
1891,0,0,0,0,0
6271,0,0,0,0,0
