ID,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
8754,0,0,0,0,0
1456,0,0,0,0,0
2849,0,0,0,0,0
9984,1,0,0,1,0
5527,0,0,0,0,0
5628,1,0,0,0,0
7627,0,0,1,1,0
1351,0,0,1,0,0
10629,0,0,0,0,0
10395,0,0,0,0,0
6961,0,0,0,0,0
10196,0,0,0,0,0
6182,0,0,0,0,0
10432,0,0,0,0,0
1542,0,0,0,0,0
4220,0,0,0,0,0
4141,0,0,0,0,0
1940,0,0,0,0,0
1506,0,0,0,0,0
6347,0,0,0,0,0
1361,0,1,1,0,0
9422,0,0,0,0,0
1081,0,0,0,0,0
7458,0,0,0,0,0
1012,0,0,0,0,0
5453,0,0,0,1,0
6818,0,0,0,0,0
7807,0,0,0,0,0
7532,0,0,0,0,0
8346,1,0,0,0,0
5564,0,0,0,0,0
3267,0,1,0,0,0
3091,0,0,0,0,0
762,0,0,0,0,0
8029,0,1,1,1,0
4376,1,0,0,0,0
10981,0,0,0,0,0
486,0,0,0,0,0
1158,0,0,0,0,0
9119,0,0,0,0,0
6694,0,0,0,0,0
10573,1,0,0,0,0
10140,0,1,0,0,1
2286,0,0,0,0,0
8420,0,0,0,0,0
10065,0,0,0,0,0
1029,0,0,0,0,0
4207,1,0,1,0,0
10277,0,0,0,0,0
4436,0,0,0,0,0
2929,0,0,0,0,0
6281,1,0,0,0,0
10390,0,0,0,0,0
2574,0,1,0,1,1
709,0,0,0,0,0
5955,0,0,0,0,0
8486,0,0,0,0,0
10343,0,0,0,0,0
6652,0,0,0,0,0
8746,0,1,0,1,0
4686,0,0,1,0,0
3551,0,0,0,0,0
4338,1,0,0,0,0
4444,0,0,0,0,0
498,0,0,0,0,0
8230,0,0,0,0,0
2826,0,0,0,0,0
6222,0,0,0,0,0
7352,0,0,0,0,0
10928,0,0,0,0,0
10736,0,0,0,0,0
10163,0,0,0,0,0
6168,0,0,0,0,0
4656,1,0,0,0,0
626,0,0,0,0,0
3870,0,0,0,0,0
6299,1,0,0,0,0
7798,0,0,0,0,0
9973,0,0,0,0,0
4299,0,0,0,0,0
10971,1,0,0,0,0
9931,0,0,0,0,0
6679,0,0,0,0,0
5961,0,0,0,0,0
6255,0,0,0,0,0
8614,0,0,0,0,0
7828,0,0,0,0,0
1277,0,0,0,1,0
3595,0,0,0,0,0
5735,0,0,1,0,0
5350,0,0,1,0,0
4137,0,0,0,0,0
6357,0,0,0,0,0
9316,0,0,0,0,0
3578,0,0,0,0,0
153,0,0,0,0,0
10524,0,0,0,0,0
1518,0,0,0,0,0
2036,0,0,0,0,0
9495,0,0,0,0,0
2631,0,0,0,0,0
6312,0,0,0,0,0
615,0,0,0,0,0
4406,0,0,0,0,0
10061,0,0,0,0,0
10619,0,0,1,0,0
4945,0,0,0,0,0
1777,0,0,0,0,0
4023,0,0,0,0,0
7922,0,1,0,0,0
10699,0,0,0,0,0
7516,0,0,0,0,0
3129,0,0,0,0,0
5121,1,0,0,0,0
2186,0,1,1,1,0
10548,0,0,0,0,0
6384,1,0,0,0,0
2625,0,0,0,0,0
1676,0,0,0,0,0
5534,1,0,0,0,0
6859,0,0,0,0,0
271,1,0,0,0,0
7699,1,0,0,0,0
7832,1,0,1,1,0
938,1,0,0,0,0
7873,0,0,0,0,0
9967,0,0,0,0,0
1087,0,0,0,0,0
8314,0,0,1,0,0
3762,0,0,0,1,0
10383,0,0,0,0,0
6798,0,0,0,0,0
4168,0,0,0,0,0
6690,0,0,0,0,0
10602,0,0,0,0,0
3220,0,0,0,0,0
5424,0,0,0,0,0
7488,0,0,0,0,0
5289,0,0,0,0,0
347,0,0,0,0,0
5236,0,1,1,1,0
9478,0,0,0,0,0
477,1,0,1,1,1
7411,0,0,0,0,0
3107,0,0,0,0,0
7437,0,0,0,0,0
255,0,0,0,0,0
3790,0,0,0,0,0
749,1,0,0,0,0
1503,0,0,0,0,0
8650,0,0,0,0,0
607,0,0,0,0,0
1008,1,0,0,0,0
9396,0,0,0,0,0
933,0,0,0,0,0
5710,0,1,0,0,0
2882,0,0,0,0,0
2379,0,0,0,0,0
5342,0,0,0,0,0
3262,0,0,0,0,0
5832,0,0,0,0,0
5025,0,0,0,0,0
569,0,1,1,1,0
3102,0,0,0,0,0
9449,0,0,0,0,0
8104,0,0,0,0,0
75,0,0,0,0,0
6421,0,0,0,1,0
3037,0,0,0,0,0
4698,0,0,0,0,0
948,0,0,0,0,0
6177,0,0,0,0,0
3517,0,0,0,0,0
3491,0,0,0,0,0
7610,0,0,0,0,0
4377,1,0,0,0,0
9850,0,0,0,0,0
5544,0,1,0,0,0
6497,0,0,0,0,0
4543,0,0,1,0,0
5117,0,0,0,0,0
1448,0,0,0,0,0
6887,0,0,0,0,0
7500,0,0,0,0,0
2724,0,0,0,0,0
2256,0,0,0,0,0
1100,0,0,0,0,0
7725,0,0,0,0,0
2612,0,0,0,1,0
113,0,0,0,0,0
2868,0,0,0,0,0
4216,0,0,1,1,0
199,0,1,0,0,0
359,0,0,0,0,0
8842,0,0,0,0,0
2154,0,0,0,0,0
6050,1,0,0,0,0
9204,0,0,0,0,0
4472,0,0,0,0,0
6864,0,0,0,0,0
10617,0,0,0,0,0
3924,0,1,0,0,0
5654,0,0,0,0,0
9216,0,0,0,0,0
8086,0,0,0,0,0
9097,0,0,0,0,0
7631,0,0,0,0,0
7275,0,0,0,0,0
8334,0,0,0,0,0
1987,0,0,0,0,0
2281,1,0,0,0,0
7034,0,0,0,0,0
2797,0,0,0,0,0
3934,0,0,0,0,0
2493,0,0,0,0,0
3759,1,0,0,0,0
965,0,0,0,0,0
7378,1,0,0,0,0
1859,0,0,0,0,0
6263,0,0,0,0,0
2072,1,0,0,0,0
8908,0,0,0,0,0
738,0,0,0,0,0
10129,0,0,1,0,0
807,0,0,0,0,0
3334,0,0,1,1,0
5423,0,0,0,0,0
4426,0,0,0,1,0
10489,0,0,1,1,0
2570,0,1,0,0,1
3834,0,0,0,0,0
590,0,0,0,0,0
4791,0,0,0,0,0
5304,0,0,0,0,0
2426,0,0,0,0,0
35,0,0,0,0,0
8041,0,0,0,0,0
3584,1,0,0,0,0
7718,0,0,0,0,0
8605,0,0,0,0,0
1646,0,0,0,0,0
9206,0,0,1,0,0
10757,0,0,0,0,0
6885,0,0,0,0,0
907,0,0,0,0,0
1150,0,0,1,0,0
3867,0,0,0,0,0
3859,0,0,0,0,0
3265,0,0,0,0,0
4418,0,0,0,0,0
4611,0,0,1,1,0
4530,0,0,0,1,0
7736,1,0,0,0,0
9949,0,0,0,0,0
942,0,0,0,0,0
6181,0,0,0,0,0
7660,1,0,0,0,0
2055,1,0,0,0,0
5107,1,0,0,0,0
1626,1,0,0,0,0
6428,0,0,0,0,0
9617,0,0,0,0,0
4339,0,0,0,0,0
7235,0,0,0,0,0
8527,0,0,0,0,0
1968,0,0,0,0,0
9862,0,0,0,0,0
11075,0,0,0,0,0
6658,0,0,0,0,0
4552,0,0,0,0,0
10377,0,0,0,0,0
5336,0,0,0,0,0
10350,0,0,0,0,0
11071,0,0,0,0,0
11100,0,0,0,0,0
6516,0,0,0,0,0
1734,0,0,0,0,0
2131,0,0,0,0,0
6439,0,0,0,0,0
10591,0,0,0,0,0
9797,0,0,0,0,0
9336,0,0,0,0,0
2174,0,0,0,0,0
3197,0,0,0,0,0
9185,0,0,0,0,0
905,0,0,0,0,0
10858,0,0,0,0,0
8925,0,0,0,0,0
2499,0,0,0,0,0
1109,0,0,0,0,0
326,0,0,0,0,0
10967,0,0,0,0,0
5370,1,0,0,0,0
2098,0,0,0,0,0
1773,0,0,0,0,0
5036,0,0,0,0,0
4856,1,0,0,1,0
8722,1,0,0,1,0
2156,0,0,0,0,0
2569,0,0,0,0,0
10151,0,0,0,0,0
10473,0,1,1,0,0
7079,0,0,0,0,0
6875,0,0,0,0,0
6728,0,0,0,0,0
2471,0,0,0,0,0
49,0,0,0,0,0
4973,0,0,0,0,0
6387,1,0,0,0,0
5866,0,0,0,0,0
8523,0,0,0,0,0
7901,0,0,0,0,0
898,0,0,0,0,0
10242,0,0,0,0,0
5835,0,0,0,0,0
6919,0,0,0,0,0
6197,0,0,0,0,0
10475,0,0,0,0,0
4201,0,0,0,0,0
5092,0,1,0,0,0
6566,0,0,0,0,0
6613,0,0,0,0,0
9094,0,0,0,0,0
9847,0,0,0,0,0
10767,0,0,1,1,0
7943,0,0,0,0,0
1055,0,0,0,0,0
1458,0,0,0,0,0
8402,0,0,0,0,0
6246,0,0,0,0,0
4654,0,0,0,0,0
6103,0,0,0,0,0
8147,0,0,0,0,0
10207,0,0,0,0,0
4838,0,0,0,0,0
10219,0,0,0,0,0
2176,0,1,1,1,0
9121,0,1,1,1,0
5802,0,0,0,0,0
10790,0,0,0,0,0
178,0,0,0,0,0
2308,0,0,0,0,0
7431,0,1,0,0,0
9405,0,0,0,0,0
10525,1,0,0,0,0
7503,1,0,0,0,0
8783,0,0,0,0,0
1403,0,0,0,0,0
4643,0,0,0,0,0
3463,0,0,0,0,0
4055,0,0,0,0,0
7010,0,0,1,0,0
4767,0,0,1,0,0
1927,0,0,0,0,0
437,0,0,0,0,0
4331,0,1,1,0,0
4084,0,0,0,0,0
8135,0,0,0,0,0
9750,0,0,0,0,0
6682,0,0,0,0,0
10581,0,0,0,0,0
3710,0,0,0,0,0
5207,0,0,0,0,0
9360,0,0,0,0,0
4679,0,0,0,0,0
1340,0,1,1,1,0
10839,0,0,0,0,0
5303,0,0,0,0,0
9829,0,0,0,0,0
10469,0,0,0,0,0
3602,0,0,0,0,0
4756,0,0,0,0,0
8181,0,0,0,0,0
6958,0,0,0,0,0
10856,0,0,0,0,0
3321,0,0,0,0,0
5394,0,0,0,0,0
433,0,0,0,0,0
6320,0,0,0,0,0
5376,0,0,0,0,0
1867,0,0,0,0,0
4324,0,0,0,0,0
3661,0,0,0,0,0
521,0,0,0,0,0
10403,0,0,0,0,0
7186,1,0,0,0,0
4329,0,0,0,0,0
4394,0,1,1,0,0
1717,0,0,0,0,0
1016,0,0,0,0,0
3783,0,0,0,0,0
5848,1,0,1,0,1
10727,0,0,0,0,0
5299,0,0,0,0,0
6872,0,0,0,0,0
1143,0,0,0,0,0
10381,0,0,0,0,0
11007,0,0,0,0,0
9145,0,0,0,0,0
5267,0,0,0,0,0
9738,0,0,0,0,0
10212,0,0,0,0,0
10010,0,0,0,0,0
10069,1,0,0,0,0
2694,0,0,0,0,0
10613,0,0,0,0,0
4646,0,0,0,1,0
6935,0,0,0,1,0
5596,0,0,0,0,0
1044,0,0,0,0,0
9274,0,0,0,1,0
9076,0,0,0,0,0
4947,0,1,0,1,0
10176,0,1,0,0,1
3507,0,0,0,0,0
9235,0,0,0,0,0
10341,0,0,0,0,0
2639,0,0,0,0,0
6201,0,0,0,0,0
7397,0,0,0,0,0
2181,0,0,0,0,0
1204,0,0,0,1,0
1170,0,0,0,0,0
8812,0,0,0,0,0
4690,0,0,0,0,0
1715,0,0,0,0,0
10821,0,0,0,0,0
6543,0,0,0,0,0
7119,0,0,0,0,0
3518,0,0,0,0,0
1245,0,1,0,0,0
2561,0,1,0,0,0
9624,0,0,0,0,0
10509,0,0,0,0,0
7629,0,0,0,0,0
7875,0,1,1,1,0
2815,0,0,0,0,0
2936,0,0,0,0,0
3665,0,0,0,0,0
10888,0,0,0,0,0
6637,0,0,0,0,0
5077,0,0,0,0,0
6173,0,0,0,0,0
3969,0,0,0,0,0
4580,1,0,1,1,0
663,0,0,0,0,0
8299,0,0,0,0,0
8945,0,0,0,0,0
10870,0,0,0,0,0
1184,0,0,0,0,0
6141,0,0,0,0,0
8825,0,0,0,0,0
2217,0,0,0,0,0
4102,0,0,0,0,0
4653,0,0,0,0,0
10092,0,0,0,0,0
5788,0,0,0,0,0
4669,0,0,0,0,0
6295,0,0,0,0,0
7453,1,0,0,0,0
10841,0,0,0,0,0
821,0,0,0,0,0
3933,0,0,0,0,0
1225,1,0,0,0,0
7059,1,0,0,0,0
5633,0,0,0,0,0
843,0,0,0,0,0
6211,0,0,0,0,0
7007,0,0,0,0,0
9671,1,0,0,0,0
8975,1,0,0,0,0
6616,0,0,0,0,0
6248,0,0,1,0,0
7428,0,0,0,0,0
3075,0,0,0,0,0
2937,0,0,0,0,0
203,0,0,0,0,0
2021,0,0,0,0,0
880,0,0,0,0,0
524,0,0,0,0,0
10837,0,0,0,0,0
7011,0,0,0,0,0
4184,0,0,0,0,0
7679,0,0,0,0,0
7485,0,0,0,0,0
7530,0,0,0,0,0
4369,0,0,0,0,0
10652,0,0,0,0,0
286,0,0,0,0,0
5922,0,0,0,0,0
7250,0,0,0,0,0
2478,0,0,0,0,0
1160,0,0,0,0,0
9214,0,0,0,0,0
273,0,1,0,0,0
851,0,0,0,0,0
9729,0,0,0,0,0
9665,0,0,0,0,0
2620,0,0,0,0,0
8254,0,0,0,0,0
3852,0,0,0,0,0
1000,0,0,0,0,0
3099,0,0,0,0,0
6318,0,0,0,0,0
5396,0,0,0,0,0
7966,0,0,0,0,0
454,0,0,0,0,0
309,0,1,0,0,0
3571,0,1,0,0,0
8395,0,0,0,0,0
2591,0,0,0,0,0
1640,0,0,0,0,0
810,0,0,0,0,0
9423,0,0,0,0,0
4345,0,0,0,0,0
89,0,0,0,0,0
5294,0,0,0,0,0
1321,0,0,0,0,0
2686,0,0,0,0,0
1215,0,0,0,1,0
9283,0,0,0,0,0
3120,0,0,0,0,0
5868,0,0,0,0,0
8143,0,1,0,1,0
3479,1,0,0,0,0
7214,0,0,0,0,0
5543,0,1,0,0,0
9347,0,0,0,0,0
10160,0,0,0,0,0
1406,0,0,0,0,0
7019,0,0,0,0,0
2157,0,0,0,0,0
8939,0,0,0,0,0
10250,0,0,0,0,0
1272,0,0,0,0,0
3007,0,0,0,0,0
5513,0,0,0,0,0
679,0,0,0,0,0
8876,0,0,0,0,0
10827,0,0,0,0,0
7300,0,1,0,0,0
4268,0,0,0,0,0
4603,0,0,0,0,0
8659,0,0,0,0,0
10708,0,0,0,0,0
1176,0,0,0,0,0
10380,0,0,0,0,0
7037,0,0,0,0,0
11096,0,0,0,0,0
6374,0,0,0,0,0
5552,0,0,0,0,0
2245,0,0,0,0,0
6200,0,0,0,0,0
9904,0,0,0,0,0
