ID,AcceptedCampaign3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
10031,0,0,0,0,0
6642,0,0,0,0,0
10882,0,0,0,0,0
5636,0,0,0,0,0
8692,0,0,0,0,0
8091,0,0,0,0,0
8080,0,0,0,0,0
8370,0,0,0,0,0
4550,0,0,0,0,0
3381,0,0,0,0,0
10556,0,0,0,1,0
9467,0,0,0,0,0
2891,0,0,0,0,0
5011,0,0,0,0,0
8140,0,0,0,0,0
11039,0,0,0,0,0
78,0,0,0,0,0
5517,0,0,0,0,0
5290,0,0,0,0,0
4128,0,0,0,0,0
8534,0,1,0,0,0
9592,0,0,0,0,0
8957,0,0,0,0,0
9308,0,0,0,0,0
544,0,0,0,0,0
5989,0,0,0,0,0
635,0,0,0,0,0
6673,0,0,0,0,0
1710,0,0,0,0,0
523,0,0,0,0,0
8977,0,0,0,0,0
9736,0,0,0,0,0
1544,0,0,0,0,0
6575,0,0,0,0,0
6147,0,0,0,0,0
6354,0,0,0,0,0
4769,0,1,0,0,0
7540,0,0,0,0,0
5247,0,0,0,0,0
5987,0,0,0,0,0
9960,0,0,0,0,0
10972,0,1,1,0,0
1399,0,0,0,1,0
2698,0,0,0,0,0
6340,0,0,0,0,0
4107,0,0,0,0,0
10906,0,0,0,0,0
2557,1,0,0,0,0
8786,0,0,0,0,0
7187,0,0,0,0,0
6119,0,0,0,0,0
2980,0,0,0,0,0
3850,0,0,0,0,0
1077,0,0,0,0,0
9733,1,0,0,0,0
8462,1,0,0,0,0
4764,0,0,0,0,0
2223,0,0,0,0,0
7788,0,0,0,0,0
5827,0,0,0,0,0
2958,0,0,0,0,0
4954,0,0,0,0,0
3139,0,1,0,0,0
9952,0,0,0,0,0
8180,0,0,0,0,0
3276,0,0,0,0,0
4994,0,0,1,0,0
3598,0,0,0,0,0
945,0,0,0,0,0
5048,0,0,0,0,0
6214,0,0,0,0,0
6230,0,0,0,0,0
2968,1,0,0,0,0
8800,1,0,0,0,0
1907,0,0,0,0,0
10478,0,0,0,0,0
4188,0,0,0,0,0
8720,0,1,0,0,0
2225,1,0,0,1,0
4790,0,0,0,0,0
1131,0,0,0,0,0
202,0,0,0,0,0
9589,0,0,0,0,0
3900,0,0,0,0,0
9958,0,0,0,0,0
8955,1,0,0,0,0
10033,0,0,0,0,0
5751,0,0,0,0,0
3308,0,0,0,0,0
7297,0,0,0,0,0
8008,0,0,0,0,0
1232,0,0,0,0,0
2345,0,0,0,0,0
1628,0,0,0,0,0
5081,0,0,0,0,0
839,0,0,0,0,0
3706,1,0,0,0,0
5154,0,0,0,0,0
8584,0,0,0,0,0
6583,0,0,0,1,0
3433,0,0,0,1,0
10486,0,0,0,0,0
8687,0,0,0,0,0
7842,0,0,0,0,0
3749,0,0,0,0,0
1331,0,0,0,0,0
5995,0,0,0,0,0
8985,0,0,0,0,0
2798,0,1,1,1,0
7108,0,0,0,0,0
2781,0,0,1,1,0
3623,0,0,0,0,0
194,0,0,0,0,0
10833,0,1,0,0,0
2315,0,0,0,0,0
6336,0,0,0,0,0
10738,0,0,0,0,0
8286,0,1,0,0,0
2166,0,0,0,0,0
10691,0,0,0,0,0
9739,0,0,0,0,0
1829,0,1,0,0,0
6260,0,0,1,0,0
10448,1,0,0,0,0
1343,0,0,0,0,0
4749,0,0,0,0,0
531,0,0,0,0,0
6905,0,0,0,0,0
1045,0,0,0,0,0
4012,0,0,0,0,0
5529,0,0,0,1,0
4001,0,0,0,1,0
10420,0,0,0,0,0
7723,0,0,0,0,0
2963,0,0,0,0,0
10634,0,0,0,0,0
5180,0,0,0,0,0
6866,0,0,0,0,0
1328,0,0,0,0,0
1139,1,0,1,1,0
4961,0,0,0,0,0
5177,0,0,0,0,0
2075,0,0,0,0,0
3428,0,0,0,0,0
4500,0,0,0,0,0
7369,0,0,0,0,0
4381,0,0,0,0,0
9964,0,0,0,0,0
1630,0,0,0,0,0
5012,0,0,0,0,0
6918,0,0,0,0,0
7822,0,0,0,0,0
10156,0,0,0,0,0
3033,0,0,0,0,0
4119,0,0,0,0,0
11110,0,0,0,0,0
332,0,1,0,0,0
737,0,1,1,1,0
10319,0,1,0,0,0
2683,0,0,0,0,0
3445,0,0,0,0,0
10913,1,0,0,0,0
4427,1,0,1,0,0
8717,0,0,0,0,0
2066,0,0,0,0,0
3340,0,0,0,0,0
8685,0,0,0,0,0
4149,0,0,0,0,0
8726,0,0,0,0,0
2295,0,0,0,0,0
3283,0,0,0,0,0
1915,0,0,0,0,0
800,0,0,0,0,0
9166,0,0,0,0,0
5147,0,0,0,0,0
13,0,0,0,0,0
8557,0,0,0,0,0
8724,0,0,0,0,0
9381,0,0,0,0,0
9384,0,0,0,0,0
3560,0,0,1,0,0
241,0,0,1,0,0
7521,0,0,1,0,0
9799,0,0,0,0,0
5123,0,0,0,0,0
448,0,0,0,0,0
4837,0,0,0,0,0
9365,0,0,0,0,0
8932,0,0,0,0,0
7055,0,0,0,0,0
3537,0,0,0,0,0
9081,0,0,0,0,0
4988,0,0,0,0,0
1050,0,0,0,0,0
5610,0,0,0,0,0
3526,0,0,0,0,0
5136,0,1,1,0,0
1411,0,0,0,0,0
701,1,0,0,0,0
6203,0,0,0,0,0
7192,0,0,0,0,0
5181,0,0,0,0,0
9220,0,0,0,0,0
7734,0,0,1,1,0
10446,0,1,1,1,0
5524,0,0,0,0,0
3830,0,0,0,0,0
5186,0,1,0,0,0
8514,0,0,0,0,0
7165,0,0,0,0,0
10236,0,0,0,0,0
2392,0,0,0,0,0
1920,0,0,0,0,0
3673,0,0,0,0,0
1453,0,0,0,0,0
4518,0,0,0,0,0
8969,0,0,0,0,0
387,0,0,0,0,0
1079,0,1,0,0,0
164,0,0,0,0,0
3434,0,0,0,0,0
5721,0,0,1,0,0
8418,0,0,0,0,0
5300,0,0,0,0,0
10424,0,0,0,0,0
11171,0,0,0,0,0
1600,0,0,0,0,0
7851,0,0,0,0,0
10701,0,0,1,1,0
891,0,0,0,0,0
6912,0,0,0,0,0
5967,0,0,0,0,0
2109,0,0,1,0,0
6292,0,0,1,0,0
8537,0,0,0,1,0
9576,0,0,0,0,0
5935,0,0,0,0,0
10264,1,0,0,0,0
234,1,0,0,0,0
3202,0,1,1,0,0
1103,1,0,1,0,0
610,0,0,0,0,0
4480,0,0,0,0,0
10660,0,1,0,0,0
9353,0,1,0,0,0
4120,0,0,0,0,0
2836,0,0,0,0,0
9579,0,0,0,0,0
5841,0,0,0,0,0
3174,0,1,1,1,1
5536,0,1,1,1,1
2061,0,1,0,0,0
8477,0,0,0,0,0
640,0,0,0,0,0
3828,0,0,0,0,0
4093,0,0,0,0,0
8624,0,0,0,0,0
2802,0,0,0,0,0
368,0,0,0,0,0
3599,0,0,0,0,0
3389,0,0,0,0,0
10710,0,0,0,0,0
7118,1,0,0,0,0
4937,0,0,0,0,0
1127,0,0,1,0,0
833,0,0,0,0,0
3565,0,0,0,0,0
6086,0,0,0,1,0
1763,1,0,1,1,0
4697,0,0,0,0,0
182,0,0,0,0,0
1165,0,0,0,0,0
5386,0,1,1,1,0
6024,0,1,1,1,0
2678,0,0,0,0,0
5790,0,0,0,0,0
236,0,0,0,0,0
6001,0,0,0,0,0
6250,0,0,0,0,0
1168,0,0,0,0,0
10749,0,0,0,0,0
2926,0,1,0,0,1
716,0,0,0,0,0
6544,0,0,0,0,0
4298,0,0,0,0,0
5823,0,0,0,0,0
8375,0,0,0,0,0
5723,0,0,0,0,0
5763,0,0,0,0,0
8727,0,0,0,0,0
3056,0,0,0,0,0
8442,0,0,0,0,0
3712,0,1,0,0,0
10722,1,0,0,0,0
2406,0,0,0,0,0
7313,0,0,0,1,0
2656,0,0,0,0,0
1993,0,1,0,0,0
4136,0,0,0,0,0
2928,0,0,0,0,0
2920,0,0,0,0,0
6661,0,0,0,0,0
5462,0,0,0,0,0
10897,0,0,0,0,0
10542,0,0,0,0,0
5756,0,0,0,0,0
3570,0,0,0,0,0
1072,0,0,0,0,0
9606,0,0,1,1,0
2730,0,0,0,0,0
2995,0,0,0,0,0
8210,0,0,0,0,0
773,0,0,0,0,0
5272,0,0,0,0,0
5125,0,0,0,0,0
4391,0,0,0,0,0
6283,0,0,0,0,0
3421,0,0,0,0,0
5731,0,0,0,0,0
7152,0,0,0,0,0
3919,0,0,0,1,0
6097,0,0,0,0,0
5150,0,0,0,0,0
10479,0,0,0,0,0
5966,0,1,0,0,0
3439,0,0,0,0,0
6609,0,0,0,0,0
5393,0,0,0,0,0
9014,0,0,0,0,0
4050,0,0,0,0,0
6862,0,0,0,0,0
8315,0,0,0,0,0
5184,0,0,0,0,0
3643,0,0,1,0,0
2589,0,0,0,0,0
4887,0,0,0,0,0
10104,0,0,0,0,0
3254,0,0,0,0,0
2004,0,0,0,0,0
6142,0,0,0,0,0
8553,0,0,0,0,0
9805,0,0,0,0,0
849,0,0,0,0,0
1606,0,0,0,0,0
125,0,1,0,0,0
9305,0,0,0,0,0
4706,0,0,0,0,0
4437,0,0,0,0,0
3081,0,0,0,0,0
3536,0,0,0,0,0
8686,0,0,0,0,0
9707,0,1,0,0,1
10872,0,1,0,0,1
9058,1,0,1,1,0
4640,0,0,0,0,0
2525,0,0,0,0,0
9503,0,0,0,0,0
10704,0,0,0,0,0
2669,0,0,0,0,0
10037,0,0,0,0,0
5680,0,0,0,0,0
3726,0,0,0,0,0
4548,0,0,0,0,0
4599,0,0,0,0,0
879,0,0,0,0,0
7409,0,0,0,0,0
1964,0,0,0,0,0
0,0,0,0,0,0
4860,0,0,0,0,0
425,0,0,0,0,0
9500,0,0,0,0,0
3074,0,0,0,0,0
5140,0,0,0,0,0
2611,0,0,1,0,0
916,0,0,0,0,0
10413,0,0,0,0,0
3696,0,0,0,0,0
304,0,0,0,0,0
5113,1,0,0,0,0
2863,0,1,0,1,0
4597,0,0,0,0,0
675,0,0,0,0,0
4483,0,0,0,0,0
1502,0,0,0,0,0
736,0,0,0,0,0
4487,0,0,0,0,0
3412,0,1,0,0,0
1744,0,0,0,0,0
5837,0,0,0,0,0
3422,0,1,0,0,1
7462,0,0,0,0,0
10702,0,0,0,0,0
2115,0,1,0,0,0
